<DATE>;<TIME>;<OPEN> ;<HIGH>;<LOW> ;<CLOSE> ;<VOL>
25.09.2017;100000;22,321.2236507;22,354.3047676;22,315.3034508;22,337.4241977;1,799
25.09.2017;110000;22,339.3342622;22,360.6349814;22,282.9723592;22,283.0623622;3,595
25.09.2017;120000;22,282.5423446;22,285.5024446;22,219.8602283;22,269.6519094;3,592
25.09.2017;130000;22,269.7619131;22,280.9922923;22,238.9508728;22,274.3620684;3,598
25.09.2017;140000;22,274.5220738;22,297.6928562;22,273.3520343;22,282.2023332;3,6
25.09.2017;150000;22,282.2723355;22,293.6827208;22,271.4019685;22,282.5223440;3,599
25.09.2017;160000;22,282.7623521;22,304.0330703;22,277.0621596;22,297.1328373;3,584
25.09.2017;170000;22,297.1328373;22,297.6728555;22,296.5028160;22,296.8428275;1,199
26.09.2017;100000;22,322.7837033;22,367.7052201;22,320.7336341;22,367.7052201;1,799
26.09.2017;110000;22,368.3452417;22,370.1053011;22,320.2936193;22,322.3336882;3,6
26.09.2017;120000;22,322.1836831;22,327.8638749;22,289.7825891;22,306.9531688;3,598
26.09.2017;130000;22,306.8931668;22,319.4735916;22,292.0926671;22,307.6931938;3,599
26.09.2017;140000;22,307.6631928;22,326.5338300;22,304.3430807;22,321.8936733;3,599
26.09.2017;150000;22,321.9236743;22,323.1237148;22,300.8729636;22,309.4732539;3,6
26.09.2017;160000;22,309.4132519;22,320.4036230;22,280.2722680;22,291.2726394;3,582
26.09.2017;170000;22,290.2026033;22,290.2026033;22,285.0724301;22,285.0724301;1,199
27.09.2017;100000;22,331.6840039;22,371.8553602;22,330.5539657;22,342.4143662;1,798
27.09.2017;110000;22,343.9144168;22,352.6147106;22,255.6814377;22,273.9120533;3,595
27.09.2017;120000;22,275.1820961;22,302.4030152;22,268.7018773;22,291.1826364;3,592
27.09.2017;130000;22,291.3526421;22,309.3232489;22,276.9821569;22,305.9931364;3,596
27.09.2017;140000;22,306.4531520;22,314.1034103;22,298.3228775;22,311.2933154;3,596
27.09.2017;150000;22,311.3033157;22,365.1551340;22,311.3033157;22,358.3449040;3,591
