Date;Open;High;Low;Close
01.04.2019;118000,00;120330,00;118000,00;120230,00
02.04.2019;120160,00;120650,00;119200,00;120490,00
03.04.2019;120500,00;121450,00;119910,00;120330,00
04.04.2019;120240,00;120470,00;119380,00;120020,00
05.04.2019;120140,00;121100,00;120070,00;121000,00
08.04.2019;121020,00;122570,00;120780,00;122410,00
09.04.2019;122430,00;123310,00;122090,00;122590,00
10.04.2019;122640,00;124740,00;122640,00;124380,00
11.04.2019;124310,00;124540,00;122310,00;122830,00
12.04.2019;122920,00;124300,00;122510,00;123170,00
15.04.2019;123240,00;124100,00;122130,00;123120,00
16.04.2019;122960,00;124470,00;122320,00;124450,00
17.04.2019;124470,00;125030,00;123950,00;124510,00
18.04.2019;124480,00;124490,00;123330,00;124450,00
19.04.2019;124400,00;124590,00;123880,00;124120,00
22.04.2019;124250,00;125780,00;124250,00;125410,00
23.04.2019;125500,00;126490,00;125040,00;125820,00
24.04.2019;125820,00;125820,00;123060,00;123690,00
25.04.2019;123570,00;123850,00;122260,00;122570,00
26.04.2019;122570,00;122810,00;121840,00;122670,00
29.04.2019;122680,00;123530,00;122350,00;123200,00
30.04.2019;123090,00;123300,00;121870,00;122790,00
02.05.2019;122700,00;122730,00;121240,00;122220,00
03.05.2019;122200,00;123570,00;121800,00;123190,00
06.05.2019;123170,00;123170,00;120730,00;122410,00
07.05.2019;122400,00;122680,00;120710,00;121040,00
08.05.2019;121040,00;121900,00;120600,00;121010,00
10.05.2019;120940,00;121030,00;118710,00;119900,00
13.05.2019;119900,00;120050,00;118400,00;118830,00
14.05.2019;118930,00;122500,00;118820,00;122440,00
15.05.2019;122500,00;122980,00;121580,00;122410,00
16.05.2019;122420,00;124340,00;122220,00;123030,00
17.05.2019;123030,00;123680,00;122760,00;122880,00
20.05.2019;122950,00;124030,00;122810,00;123160,00
21.05.2019;123210,00;125900,00;123160,00;125800,00
22.05.2019;125830,00;127470,00;125170,00;127100,00
23.05.2019;127020,00;127020,00;124550,00;125220,00
24.05.2019;125400,00;126890,00;125210,00;125700,00
27.05.2019;125760,00;126670,00;125690,00;126520,00
28.05.2019;126530,00;127000,00;124220,00;124790,00
29.05.2019;124710,00;126410,00;124010,00;126330,00
30.05.2019;126330,00;126980,00;125880,00;126200,00
31.05.2019;126170,00;126900,00;124770,00;125770,00
03.06.2019;125730,00;130230,00;125100,00;129360,00
04.06.2019;129690,00;130170,00;127850,00;128710,00
05.06.2019;128530,00;129360,00;127810,00;128150,00
06.06.2019;128180,00;130400,00;128080,00;130110,00
07.06.2019;130160;131180;130040;130450
